translation_key,priority,scope,layer_id,source_file,feature_ids,field,target_field,original_ko,auto_en,review_en,needs_review,auto_method,occurrences,context_hanja,context_name,context_type
value:0c006a14f3be,optional,layer_title,chgis_1796_prefecture_boundaries,chgis_1796_prefecture_boundaries.geojson,221257; 97830; 97831; 97832; 97833; 97834; 97835; 97865; 97909; 97945; 220004; 220008,_layer_title,layer_title_en,1796 부급 경계,1796 Prefecture Boundaries,1796 Prefecture Boundaries,no,exact_map,272,霍州,Huo Zhou,直隶州
value:c2b657e7760c,optional,layer_title,chgis_1820_province_boundaries,chgis_1820_province_boundaries.geojson,25020; 25021; 25022; 25023; 25024; 25025; 25026; 25027; 25028; 25029; 25030; 25031,_layer_title,layer_title_en,1820 성 경계,1820 Province Boundaries,1820 Province Boundaries,no,exact_map,32,西藏,Xizang,
value:5e47f98e9355,core,subtype,ad_ja_points,ad_ja_points.geojson,AD_JD_077,소분류,subtype_en,행정Lv0,Administrative Lv0 (Capital),Administrative Lv0 (Capital),no,exact_map,1,北京,북경,행정 지명(치소)
value:8919ec8e702b,core,subtype,ad_ja_points,ad_ja_points.geojson,AD_JA_012,소분류,subtype_en,행정Lv1,Administrative Lv1 (Province),Administrative Lv1 (Province),no,exact_map,1,福建省,복건성,행정 지명(치소)
value:cbd51ae2eece,core,subtype,ad_ja_points,ad_ja_points.geojson,AD_JA_004; AD_JA_007; AD_JA_009; AD_JA_016; AD_JA_020; AD_JA_023; AD_JA_027; AD_JA_029; AD_JA_031; AD_JA_033; AD_JA_036; AD_JA_039,소분류,subtype_en,행정Lv2,Administrative Lv2 (Prefecture),Administrative Lv2 (Prefecture),no,exact_map,21,臺灣府,대만부,행정 지명(치소)
value:bf82aa7dd619,core,subtype,ad_ja_points,ad_ja_points.geojson,AD_JA_005; AD_JA_008; AD_JA_010; AD_JA_013; AD_JA_015; AD_JA_017; AD_JA_018; AD_JA_019; AD_JA_021; AD_JA_022; AD_JA_025; AD_JA_026,소분류,subtype_en,행정Lv3,Administrative Lv3 (County/Zhou),Administrative Lv3 (County/Zhou),no,exact_map,41,同安縣,동안현,행정 지명(치소)
value:986ab97df14f,core,subtype,ad_ja_points,ad_ja_points.geojson,AD_JA_003,소분류,subtype_en,행정Lv3/군사시설,Administrative Lv3 / Military Facility,Administrative Lv3 / Military Facility,no,exact_map,1,協鎭衙門,협진아문,특수행정 지명
value:b8153594a438,core,category,ad_ja_points,ad_ja_points.geojson,AD_JA_004; AD_JA_005; AD_JA_007; AD_JA_008; AD_JA_009; AD_JA_010; AD_JA_012; AD_JA_013; AD_JA_015; AD_JA_016; AD_JA_017; AD_JA_018,대분류,major_category_en,행정 지명(치소),Administrative Place (Seat),Administrative Place (Seat),no,exact_map,64,臺灣府,대만부,행정 지명(치소)
value:8b1ff38fa1db,optional,layer_title,ad_ja_points,ad_ja_points.geojson,AD_JA_001; AD_JA_002; AD_JA_003; AD_JA_004; AD_JA_005; AD_JA_006; AD_JA_007; AD_JA_008; AD_JA_009; AD_JA_010; AD_JA_012; AD_JA_013,_layer_title,layer_title_en,행정 지명,Administrative Places,Administrative Places,no,exact_map,71,東衛,동위,특수행정 지명
feature:14a897ecba37,core,note,route_points,route_points.geojson,1,NOTE,note_en,1796년 10월 14일경,"Around October 14, 1796","Around October 14, 1796",yes,exact_map,1,,표착지,표착지
feature:235e7370f790,core,note,route_points,route_points.geojson,6,NOTE,note_en,1797년 1월 4일 동안현 도착,"Arrived at Tongan Xian on January 4, 1797","Arrived at Tongan Xian on January 4, 1797",yes,exact_map,1,,동안현 체류,체류지
feature:d6ca616b28aa,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JD_051,현재 위치 기초 단위,present_locality_en,"양저우시_바오잉현","Baoying County, Yangzhou City","Baoying County, Yangzhou City",yes,reverse_geocode_osm_nominatim,1,寶應縣,보응현,행정 지명(치소)
feature:fca0c2df7e1a,core,note,route_points,route_points.geojson,10,NOTE,note_en,범람으로 인해 운하를 사용할 수 없어 배에서 내려 육로로 이동하기 시작,"Because flooding made canal travel impossible, they disembarked and began traveling overland","Because flooding made canal travel impossible, they disembarked and began traveling overland",yes,exact_map,1,,하선,분기
feature:daedeac7aad5,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JD_069,현재 위치 기초 단위,present_locality_en,창저우시_보터우시,"Botou City, Cangzhou City","Botou City, Cangzhou City",yes,reverse_geocode_osm_nominatim,1,交河縣,교하현,행정 지명(치소)
value:5de4b9e9f893,core,type,route_points,route_points.geojson,9; 10; 8,TYPE_NAME,type_en,분기,Branch Point,Branch Point,no,exact_map,3,,동정호 방문 제안,분기
value:2addead17c25,core,subtype,tg_points,tg_points.geojson,TS_001; TS_002,소분류,subtype_en,교량,Bridge,Bridge,no,exact_map,2,洛陽橋,낙양교,교통 지명
value:7f08dbeabd44,core,subtype,hg_points,hg_points.geojson,HG_003; HG_006; HG_008; HG_009; HG_010,소분류,subtype_en,종교시설(사찰),Buddhist Temple,Buddhist Temple,no,exact_map,5,法海寺,법해사,인문 지명
value:b23bf1852cfe,core,subtype,hg_points,hg_points.geojson,HG_001; HG_005; HG_007,소분류,subtype_en,건축물,Building,Building,no,exact_map,3,大北門(臺灣府),대북문(대만부),인문 지명
feature:04a5b7dfef38,core,name,route_points,route_points.geojson,8,NM_KOR,name_en,표류민 신분 확정,"Castaway Status Confirmed","Castaway Status Confirmed",yes,exact_map,1,,표류민 신분 확정,분기
feature:acba2017691f,context,present_locality,wg_points,wg_points.geojson,WS_001,현재 위치 기초 단위,present_locality_en,주장시_차이쌍구,"Chaisang District, Jiujiang City","Chaisang District, Jiujiang City",yes,reverse_geocode_osm_nominatim,1,八里江,팔리강,수계 지명
feature:f1f3154aeae6,context,present_locality,tg_points,tg_points.geojson,TS_019,현재 위치 기초 단위,present_locality_en,지난시_창칭구,"Changqing District, Jinan City","Changqing District, Jinan City",yes,reverse_geocode_osm_nominatim,1,長城驛,장성역,교통 지명
